@relation '25066_AFTER_NORMALIZED-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ConsistencySubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute NM_006185 {'\'(-inf-0.550865]\'','\'(0.550865-inf)\''}
@attribute NM_006430 {'\'(-inf-0.285973]\'','\'(0.285973-0.492807]\'','\'(0.492807-inf)\''}
@attribute NM_002266 {'\'(-inf-0.604227]\'','\'(0.604227-0.748443]\'','\'(0.748443-inf)\''}
@attribute NM_001255 {'\'(-inf-0.560639]\'','\'(0.560639-0.651087]\'','\'(0.651087-inf)\''}
@attribute NM_002691 {'\'(-inf-0.645958]\'','\'(0.645958-0.828442]\'','\'(0.828442-inf)\''}
@attribute NM_004219 {'\'(-inf-0.456304]\'','\'(0.456304-0.557732]\'','\'(0.557732-inf)\''}
@attribute NM_000168 {'\'(-inf-0.422569]\'','\'(0.422569-0.590623]\'','\'(0.590623-inf)\''}
@attribute NM_000266 {'\'(-inf-0.591784]\'','\'(0.591784-inf)\''}
@attribute NM_003256 {'\'(-inf-0.635801]\'','\'(0.635801-0.685609]\'','\'(0.685609-inf)\''}
@attribute NM_004694 {'\'(-inf-0.47417]\'','\'(0.47417-0.57775]\'','\'(0.57775-inf)\''}
@attribute BC005884 {'\'(-inf-0.498528]\'','\'(0.498528-0.630099]\'','\'(0.630099-inf)\''}
@attribute BG035989 {'\'(-inf-0.449966]\'','\'(0.449966-0.630367]\'','\'(0.630367-inf)\''}
@attribute M95929 {'\'(-inf-0.65655]\'','\'(0.65655-inf)\''}
@attribute !Sample_characteristics_ch1 {'grade: 2','grade: 3','grade: 4=Indeterminate','grade: 1'}

@data
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(0.685609-inf)\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 1'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.630099-inf)\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(0.685609-inf)\'','\'(-inf-0.47417]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 1'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(-inf-0.498528]\'','\'(0.449966-0.630367]\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.630099-inf)\'','\'(0.630367-inf)\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(0.590623-inf)\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.492807-inf)\'','\'(0.748443-inf)\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(0.685609-inf)\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(0.630367-inf)\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.651087-inf)\'','\'(0.828442-inf)\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(0.65655-inf)\'','grade: 3'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(0.748443-inf)\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 1'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(0.560639-0.651087]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(0.685609-inf)\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(-inf-0.550865]\'','\'(0.492807-inf)\'','\'(0.604227-0.748443]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(0.422569-0.590623]\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(0.635801-0.685609]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 1'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(0.449966-0.630367]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 1'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.492807-inf)\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.456304-0.557732]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.630099-inf)\'','\'(0.630367-inf)\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(0.590623-inf)\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.630099-inf)\'','\'(0.449966-0.630367]\'','\'(0.65655-inf)\'','grade: 3'
'\'(0.550865-inf)\'','\'(-inf-0.285973]\'','\'(0.748443-inf)\'','\'(0.560639-0.651087]\'','\'(-inf-0.645958]\'','\'(0.557732-inf)\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(0.748443-inf)\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(0.456304-0.557732]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 2'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(-inf-0.456304]\'','\'(0.590623-inf)\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(0.65655-inf)\'','grade: 2'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.828442-inf)\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(0.456304-0.557732]\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(-inf-0.498528]\'','\'(-inf-0.449966]\'','\'(0.65655-inf)\'','grade: 3'
'\'(-inf-0.550865]\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(0.591784-inf)\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.630099-inf)\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(-inf-0.604227]\'','\'(-inf-0.560639]\'','\'(-inf-0.645958]\'','\'(0.557732-inf)\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(-inf-0.47417]\'','\'(0.498528-0.630099]\'','\'(-inf-0.449966]\'','\'(-inf-0.65655]\'','grade: 2'
'\'(-inf-0.550865]\'','\'(-inf-0.285973]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(-inf-0.456304]\'','\'(-inf-0.422569]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.47417-0.57775]\'','\'(0.630099-inf)\'','\'(0.449966-0.630367]\'','\'(-inf-0.65655]\'','grade: 3'
'\'(0.550865-inf)\'','\'(0.285973-0.492807]\'','\'(0.604227-0.748443]\'','\'(0.651087-inf)\'','\'(0.645958-0.828442]\'','\'(0.557732-inf)\'','\'(0.422569-0.590623]\'','\'(-inf-0.591784]\'','\'(-inf-0.635801]\'','\'(0.57775-inf)\'','\'(0.498528-0.630099]\'','\'(0.449966-0.630367]\'','\'(0.65655-inf)\'','grade: 2'
